,Name
0,The Fountain
1,Donnie Darko
2,A River Runs Through It
3,Pan's Labyrinth
4,The Lord of the Rings: The Fellowship of the Ring
5,The Assassination of Jesse James by the Coward Robert Ford
6,Gods and Monsters
7,The Tree of Life
8,The Thin Red Line
9,Brokeback Mountain
10,There Will Be Blood
11,The Big Lebowski
12,No Country for Old Men
13,O Brother, Where Art Thou?
14,Fantastic Mr. Fox
15,The Royal Tenenbaums
16,Smoke
17,Crouching Tiger, Hidden Dragon
18,House of Sand and Fog
19,The Company of Wolves
20,Babe
21,The Darjeeling Limited
22,Drive
23,What's Eating Gilbert Grape
24,Monty Python's Life of Brian
25,Unforgiven
26,Mystic River
27,Open Your Eyes
28,Crash
29,The Hours
30,Winter's Bone
31,Good Will Hunting
32,Black Swan
33,Before the Devil Knows You're Dead
34,Magnolia
35,Big Fish
36,Closer
37,Gosford Park
38,A Serious Man
39,Chasing Amy
40,Mulholland Drive
41,In the Valley of Elah
42,The Round-Up
43,See full summary
44,Leaving Las Vegas
45,Fried Green Tomatoes
46,Dolores Claiborne
47,Of Mice and Men
48,Black Beauty
