,Name
0,The Nightmare Before Christmas
1,The Rocky Horror Picture Show
2,Sing 2
3,Encanto
4,Corpse Bride
5,In the Heights
6,Wicked
7,The Greatest Showman
8,Cinderella
9,Dear Evan Hansen
10,Wonka
11,West Side Story
12,Grease
13,Annette
14,The Book of Life
15,Fame
16,Little Shop of Horrors
17,Hamilton
18,Charlie and the Chocolate Factory
19,Moana
20,Sing
21,La La Land
22,Sweeney Todd: The Demon Barber of Fleet Street
23,The Wizard of Oz
24,The Lion King
25,Labyrinth
26,Rocketman
27,Vivo
28,Frozen
29,Beauty and the Beast
30,Aladdin
31,Les Misérables
32,Mamma Mia!
33,The Sound of Music
34,Mamma Mia! Here We Go Again
35,My Little Pony: A New Generation
