,Name
0,King Richard
1,Space Jam: A New Legacy
2,Moneyball
3,Fighting with My Family
4,The Big Lebowski
5,A League of Their Own
6,Dodgeball: A True Underdog Story
7,Happy Gilmore
8,The Karate Kid
9,Cars
10,Ford v Ferrari
11,The Sandlot
12,The Blind Side
13,Warrior
14,Rocky
15,The Mighty Ducks
16,Remember the Titans
17,Talladega Nights: The Ballad of Ricky Bobby
18,Rush
19,Jerry Maguire
20,Slap Shot
21,Caddyshack
22,Bruised
23,American Underdog
24,Million Dollar Baby
25,I, Tonya
26,Real Steel
27,Space Jam
28,Point Break
29,Rocky IV
30,Bring It on
31,Rashmi Rocket
32,Varsity Blues
33,17 Again
