,Name
0,Army of Thieves
1,Last Night in Soho
2,No Time to Die
3,Halloween Kills
4,Morbius
5,Army of the Dead
6,House of Gucci
7,Halloween
8,Hypnotic
9,Venom: Let There Be Carnage
10,The Last Duel
11,Red Notice
12,Old
13,Paranormal Activity: Next of Kin
14,Apex
15,Halloween
16,Dangerous
17,Night Teeth
18,The Guilty
19,Titane
20,Midsommar
21,Scream
22,The Trip
23,Blade Runner 2049
24,V for Vendetta
25,Malignant
26,The Night House
27,Sooryavanshi
28,13 Minutes
29,Knives Out
30,Hereditary
31,The Conjuring: The Devil Made Me Do It
32,The Conjuring
33,Joker
34,Reminiscence
