,Name
0,Silver Linings Playbook
1,Juno
2,50/50
3,500 Days of Summer
4,The Descendants
5,The Way Way Back
6,It's Kind of a Funny Story
7,Sideways
8,Thank You for Smoking
9,The Breakfast Club
10,Crazy, Stupid, Love.
11,Lars and the Real Girl
12,Sunshine Cleaning
13,The Kids Are All Right
14,Moonrise Kingdom
15,Blue Jasmine
16,Young Adult
17,Safety Not Guaranteed
18,Ruby Sparks
19,Win Win
20,Knocked Up
21,3 Idiots
22,50 First Dates
23,Love Actually
24,Stranger Than Fiction
25,Driving Miss Daisy
26,About Schmidt
27,Paris, je t'aime
28,Election
29,The Intouchables
30,The Best Exotic Marigold Hotel
31,The Squid and the Whale
32,Ghost World
33,Greenberg
34,The Savages
35,Submarine
36,Rushmore
37,The Royal Tenenbaums
38,Wonder Boys
39,The Station Agent
40,Everything Is Illuminated
41,He's Just Not That Into You
42,Definitely, Maybe
43,Dan in Real Life
44,In Good Company
45,Manhattan
46,Hannah and Her Sisters
47,A Serious Man
48,The Kings of Summer
49,Bridget Jones's Diary
50,The Graduate
